Power Usage (kW),Pr Percent,Fuel Usage (Litres),Energy (kWh),Eff (kWh/Litre),Eff (litre/kWh)
1,0.008333333,0.010666667,0.002777778,0.26,3.84
2,0.016666667,0.011333333,0.005555556,0.49,2.04
3,0.025,0.012,0.008333333,0.69,1.44
4,0.033333333,0.012666667,0.011111111,0.88,1.14
5,0.041666667,0.013333333,0.013888889,1.04,0.96
6,0.05,0.014,0.016666667,1.19,0.84
7,0.058333333,0.014666667,0.019444444,1.33,0.754285714
8,0.066666667,0.015333333,0.022222222,1.45,0.69
9,0.075,0.016,0.025,1.56,0.64
10,0.083333333,0.016666667,0.027777778,1.67,0.6
11,0.091666667,0.017333333,0.030555556,1.76,0.567272727
12,0.1,0.018,0.033333333,1.85,0.54
13,0.108333333,0.018666667,0.036111111,1.93,0.516923077
14,0.116666667,0.019333333,0.038888889,2.01,0.497142857
15,0.125,0.02,0.041666667,2.08,0.48
16,0.133333333,0.020666667,0.044444444,2.15,0.465
17,0.141666667,0.021333333,0.047222222,2.21,0.451764706
18,0.15,0.022,0.05,2.27,0.44
19,0.158333333,0.022666667,0.052777778,2.33,0.429473684
20,0.166666667,0.023333333,0.055555556,2.38,0.42
21,0.175,0.024,0.058333333,2.43,0.411428571
22,0.183333333,0.024666667,0.061111111,2.48,0.403636364
23,0.191666667,0.025333333,0.063888889,2.52,0.396521739
24,0.2,0.026,0.066666667,2.56,0.39
25,0.208333333,0.026666667,0.069444444,2.6,0.384
26,0.216666667,0.027333333,0.072222222,2.64,0.378461538
27,0.225,0.028,0.075,2.68,0.373333333
28,0.233333333,0.028666667,0.077777778,2.71,0.368571429
29,0.241666667,0.029333333,0.080555556,2.75,0.364137931
30,0.25,0.03,0.083333333,2.78,0.36
31,0.258333333,0.030740741,0.086111111,2.8,0.356989247
32,0.266666667,0.031481481,0.088888889,2.82,0.354166667
33,0.275,0.032222222,0.091666667,2.84,0.351515152
34,0.283333333,0.032962963,0.094444444,2.87,0.349019608
35,0.291666667,0.033703704,0.097222222,2.88,0.346666667
36,0.3,0.034444444,0.1,2.9,0.344444444
37,0.308333333,0.035185185,0.102777778,2.92,0.342342342
38,0.316666667,0.035925926,0.105555556,2.94,0.340350877
39,0.325,0.036666667,0.108333333,2.95,0.338461538
40,0.333333333,0.037407407,0.111111111,2.97,0.336666667
41,0.341666667,0.038148148,0.113888889,2.99,0.33495935
42,0.35,0.038888889,0.116666667,3,0.333333333
43,0.358333333,0.03962963,0.119444444,3.01,0.331782946
44,0.366666667,0.04037037,0.122222222,3.03,0.33030303
45,0.375,0.041111111,0.125,3.04,0.328888889
46,0.383333333,0.041851852,0.127777778,3.05,0.327536232
47,0.391666667,0.042592593,0.130555556,3.07,0.326241135
48,0.4,0.043333333,0.133333333,3.08,0.325
49,0.408333333,0.044074074,0.136111111,3.09,0.323809524
50,0.416666667,0.044814815,0.138888889,3.1,0.322666667
51,0.425,0.045555556,0.141666667,3.11,0.321568627
52,0.433333333,0.046296296,0.144444444,3.12,0.320512821
53,0.441666667,0.047037037,0.147222222,3.13,0.319496855
54,0.45,0.047777778,0.15,3.14,0.318518519
55,0.458333333,0.048518519,0.152777778,3.15,0.317575758
56,0.466666667,0.049259259,0.155555556,3.16,0.316666667
57,0.475,0.05,0.158333333,3.17,0.315789474
58,0.483333333,0.050740741,0.161111111,3.18,0.314942529
59,0.491666667,0.051481481,0.163888889,3.18,0.314124294
60,0.5,0.052222222,0.166666667,3.19,0.313333333
61,0.508333333,0.052981481,0.169444444,3.2,0.312677596
62,0.516666667,0.053740741,0.172222222,3.2,0.312043011
63,0.525,0.0545,0.175,3.21,0.311428571
64,0.533333333,0.055259259,0.177777778,3.22,0.310833333
65,0.541666667,0.056018519,0.180555556,3.22,0.31025641
66,0.55,0.056777778,0.183333333,3.23,0.30969697
67,0.558333333,0.057537037,0.186111111,3.23,0.309154229
68,0.566666667,0.058296296,0.188888889,3.24,0.308627451
