BESS_Power_kW,BESS_Energy_kWh,Fuel_Cost_£,Rent_£,Total_Cost_£,CO2_kg,Unmet_Load_kWh,Feasible,df
50,50,11779.57,8220.0,19999.57,23559.14,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0      50.000000            50.0   
1     2025-05-07 12:03:00      0.0      50.000000            50.0   
2     2025-05-07 12:04:00      0.0      50.000000            50.0   
3     2025-05-07 12:05:00      0.0      50.000000            50.0   
4     2025-05-07 12:06:00      0.0      50.000000            50.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       5.499351             0.0   
56874 2025-06-15 23:56:00     12.0      62.000000            50.0   
56875 2025-06-15 23:57:00     12.0       0.000000             0.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0       0.000000             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  25.768295              0.0        0.000000   
1               0.000000  26.536591              0.0        0.000000   
2               0.000000  27.304886              0.0        0.000000   
3               0.000000  28.073181              0.0        0.000000   
4               0.000000  28.841477              0.0        0.000000   
...                  ...        ...              ...             ...   
56873           6.500649   4.990828              0.0        5.499351   
56874           0.000000   5.759124              0.0       12.000000   
56875          12.000000   5.542193              0.0        0.000000   
56876          12.000000   5.325263              0.0        0.000000   
56877          12.000000   5.108332              0.0        0.000000   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.308261  
1                0.0    0.308261  
2                0.0    0.308261  
3                0.0    0.308261  
4                0.0    0.308261  
...              ...         ...  
56873            0.0    0.130846  
56874            0.0    0.359490  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
50,100,11762.93,10200.0,21962.93,23525.87,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0      50.000000            50.0   
1     2025-05-07 12:03:00      0.0      50.000000            50.0   
2     2025-05-07 12:04:00      0.0      50.000000            50.0   
3     2025-05-07 12:05:00      0.0      50.000000            50.0   
4     2025-05-07 12:06:00      0.0      50.000000            50.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       5.499351             0.0   
56874 2025-06-15 23:56:00     12.0      62.000000            50.0   
56875 2025-06-15 23:57:00     12.0       0.000000             0.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0       0.000000             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  50.768295              0.0        0.000000   
1               0.000000  51.536591              0.0        0.000000   
2               0.000000  52.304886              0.0        0.000000   
3               0.000000  53.073181              0.0        0.000000   
4               0.000000  53.841477              0.0        0.000000   
...                  ...        ...              ...             ...   
56873           6.500649   9.990828              0.0        5.499351   
56874           0.000000  10.759124              0.0       12.000000   
56875          12.000000  10.542193              0.0        0.000000   
56876          12.000000  10.325263              0.0        0.000000   
56877          12.000000  10.108332              0.0        0.000000   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.308261  
1                0.0    0.308261  
2                0.0    0.308261  
3                0.0    0.308261  
4                0.0    0.308261  
...              ...         ...  
56873            0.0    0.130846  
56874            0.0    0.359490  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
100,50,10808.07,11220.0,22028.07,21616.14,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0     100.000000           100.0   
1     2025-05-07 12:03:00      0.0     100.000000           100.0   
2     2025-05-07 12:04:00      0.0     100.000000           100.0   
3     2025-05-07 12:05:00      0.0     100.000000           100.0   
4     2025-05-07 12:06:00      0.0     100.000000           100.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       0.000000             0.0   
56874 2025-06-15 23:56:00     12.0       0.000000             0.0   
56875 2025-06-15 23:57:00     12.0       0.000000             0.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0      10.940257             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  26.536591              0.0        0.000000   
1               0.000000  28.073181              0.0        0.000000   
2               0.000000  29.609772              0.0        0.000000   
3               0.000000  31.146363              0.0        0.000000   
4               0.000000  32.682954              0.0        0.000000   
...                  ...        ...              ...             ...   
56873          12.000000   5.668454              0.0        0.000000   
56874          12.000000   5.451523              0.0        0.000000   
56875          12.000000   5.234593              0.0        0.000000   
56876          12.000000   5.017662              0.0        0.000000   
56877           1.059743   4.998505              0.0       10.940257   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.528169  
1                0.0    0.528169  
2                0.0    0.528169  
3                0.0    0.528169  
4                0.0    0.528169  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.151833  

[56878 rows x 10 columns]"
100,100,10798.16,13200.0,23998.16,21596.32,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0     100.000000           100.0   
1     2025-05-07 12:03:00      0.0     100.000000           100.0   
2     2025-05-07 12:04:00      0.0     100.000000           100.0   
3     2025-05-07 12:05:00      0.0     100.000000           100.0   
4     2025-05-07 12:06:00      0.0     100.000000           100.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       0.000000             0.0   
56874 2025-06-15 23:56:00     12.0       0.000000             0.0   
56875 2025-06-15 23:57:00     12.0       0.000000             0.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0      10.940257             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  51.536591              0.0        0.000000   
1               0.000000  53.073181              0.0        0.000000   
2               0.000000  54.609772              0.0        0.000000   
3               0.000000  56.146363              0.0        0.000000   
4               0.000000  57.682954              0.0        0.000000   
...                  ...        ...              ...             ...   
56873          12.000000  10.668454              0.0        0.000000   
56874          12.000000  10.451523              0.0        0.000000   
56875          12.000000  10.234593              0.0        0.000000   
56876          12.000000  10.017662              0.0        0.000000   
56877           1.059743   9.998505              0.0       10.940257   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.528169  
1                0.0    0.528169  
2                0.0    0.528169  
3                0.0    0.528169  
4                0.0    0.528169  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.151833  

[56878 rows x 10 columns]"
100,200,10774.45,17160.0,27934.45,21548.9,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0     100.000000           100.0   
1     2025-05-07 12:03:00      0.0     100.000000           100.0   
2     2025-05-07 12:04:00      0.0     100.000000           100.0   
3     2025-05-07 12:05:00      0.0     100.000000           100.0   
4     2025-05-07 12:06:00      0.0     100.000000           100.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       0.000000             0.0   
56874 2025-06-15 23:56:00     12.0       0.000000             0.0   
56875 2025-06-15 23:57:00     12.0       0.000000             0.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0      10.940257             0.0   

       BESS_Discharge_kW     SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  101.536591              0.0        0.000000   
1               0.000000  103.073181              0.0        0.000000   
2               0.000000  104.609772              0.0        0.000000   
3               0.000000  106.146363              0.0        0.000000   
4               0.000000  107.682954              0.0        0.000000   
...                  ...         ...              ...             ...   
56873          12.000000   20.668454              0.0        0.000000   
56874          12.000000   20.451523              0.0        0.000000   
56875          12.000000   20.234593              0.0        0.000000   
56876          12.000000   20.017662              0.0        0.000000   
56877           1.059743   19.998505              0.0       10.940257   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.528169  
1                0.0    0.528169  
2                0.0    0.528169  
3                0.0    0.528169  
4                0.0    0.528169  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.151833  

[56878 rows x 10 columns]"
150,150,10482.92,18180.0,28662.92,20965.85,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0     150.000000           150.0   
1     2025-05-07 12:03:00      0.0     150.000000           150.0   
2     2025-05-07 12:04:00      0.0     150.000000           150.0   
3     2025-05-07 12:05:00      0.0     150.000000           150.0   
4     2025-05-07 12:06:00      0.0     150.000000           150.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       0.000000             0.0   
56874 2025-06-15 23:56:00     12.0       4.176932             0.0   
56875 2025-06-15 23:57:00     12.0     162.000000           150.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0       0.000000             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  77.304886              0.0        0.000000   
1               0.000000  79.609772              0.0        0.000000   
2               0.000000  81.914658              0.0        0.000000   
3               0.000000  84.219544              0.0        0.000000   
4               0.000000  86.524431              0.0        0.000000   
...                  ...        ...              ...             ...   
56873          12.000000  15.130384              0.0        0.000000   
56874           7.823068  14.988963              0.0        4.176932   
56875           0.000000  17.293849              0.0       12.000000   
56876          12.000000  17.076918              0.0        0.000000   
56877          12.000000  16.859988              0.0        0.000000   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.755287  
1                0.0    0.755287  
2                0.0    0.755287  
3                0.0    0.755287  
4                0.0    0.755287  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.125636  
56875            0.0    0.810811  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
150,300,10452.35,24120.0,34572.35,20904.7,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0     150.000000           150.0   
1     2025-05-07 12:03:00      0.0     150.000000           150.0   
2     2025-05-07 12:04:00      0.0     150.000000           150.0   
3     2025-05-07 12:05:00      0.0     150.000000           150.0   
4     2025-05-07 12:06:00      0.0     150.000000           150.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0       0.000000             0.0   
56874 2025-06-15 23:56:00     12.0       4.176932             0.0   
56875 2025-06-15 23:57:00     12.0     162.000000           150.0   
56876 2025-06-15 23:58:00     12.0       0.000000             0.0   
56877 2025-06-15 23:59:00     12.0       0.000000             0.0   

       BESS_Discharge_kW     SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0               0.000000  152.304886              0.0        0.000000   
1               0.000000  154.609772              0.0        0.000000   
2               0.000000  156.914658              0.0        0.000000   
3               0.000000  159.219544              0.0        0.000000   
4               0.000000  161.524431              0.0        0.000000   
...                  ...         ...              ...             ...   
56873          12.000000   30.130384              0.0        0.000000   
56874           7.823068   29.988963              0.0        4.176932   
56875           0.000000   32.293849              0.0       12.000000   
56876          12.000000   32.076918              0.0        0.000000   
56877          12.000000   31.859988              0.0        0.000000   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    0.755287  
1                0.0    0.755287  
2                0.0    0.755287  
3                0.0    0.755287  
4                0.0    0.755287  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.125636  
56875            0.0    0.810811  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
200,100,10422.27,19200.0,29622.27,20844.53,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0          200.0           200.0   
1     2025-05-07 12:03:00      0.0          200.0           200.0   
2     2025-05-07 12:04:00      0.0          200.0           200.0   
3     2025-05-07 12:05:00      0.0          200.0           200.0   
4     2025-05-07 12:06:00      0.0          200.0           200.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0            0.0             0.0   
56874 2025-06-15 23:56:00     12.0            0.0             0.0   
56875 2025-06-15 23:57:00     12.0            0.0             0.0   
56876 2025-06-15 23:58:00     12.0            0.0             0.0   
56877 2025-06-15 23:59:00     12.0            0.0             0.0   

       BESS_Discharge_kW    SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0                    0.0  53.073181              0.0             0.0   
1                    0.0  56.146363              0.0             0.0   
2                    0.0  59.219544              0.0             0.0   
3                    0.0  62.292726              0.0             0.0   
4                    0.0  65.365907              0.0             0.0   
...                  ...        ...              ...             ...   
56873               12.0  11.974249              0.0             0.0   
56874               12.0  11.757318              0.0             0.0   
56875               12.0  11.540388              0.0             0.0   
56876               12.0  11.323457              0.0             0.0   
56877               12.0  11.106527              0.0             0.0   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    1.001001  
1                0.0    1.001001  
2                0.0    1.001001  
3                0.0    1.001001  
4                0.0    1.001001  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
200,200,10401.68,23160.0,33561.68,20803.36,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0          200.0           200.0   
1     2025-05-07 12:03:00      0.0          200.0           200.0   
2     2025-05-07 12:04:00      0.0          200.0           200.0   
3     2025-05-07 12:05:00      0.0          200.0           200.0   
4     2025-05-07 12:06:00      0.0          200.0           200.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0            0.0             0.0   
56874 2025-06-15 23:56:00     12.0            0.0             0.0   
56875 2025-06-15 23:57:00     12.0            0.0             0.0   
56876 2025-06-15 23:58:00     12.0            0.0             0.0   
56877 2025-06-15 23:59:00     12.0            0.0             0.0   

       BESS_Discharge_kW     SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0                    0.0  103.073181              0.0             0.0   
1                    0.0  106.146363              0.0             0.0   
2                    0.0  109.219544              0.0             0.0   
3                    0.0  112.292726              0.0             0.0   
4                    0.0  115.365907              0.0             0.0   
...                  ...         ...              ...             ...   
56873               12.0   21.974249              0.0             0.0   
56874               12.0   21.757318              0.0             0.0   
56875               12.0   21.540388              0.0             0.0   
56876               12.0   21.323457              0.0             0.0   
56877               12.0   21.106527              0.0             0.0   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    1.001001  
1                0.0    1.001001  
2                0.0    1.001001  
3                0.0    1.001001  
4                0.0    1.001001  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
250,250,10392.55,28140.0,38532.55,20785.09,0.0,YES,"                 DATETIME  Load_kW  Gen_Output_kW  BESS_Charge_kW  \
0     2025-05-07 12:02:00      0.0          216.0           216.0   
1     2025-05-07 12:03:00      0.0          216.0           216.0   
2     2025-05-07 12:04:00      0.0          216.0           216.0   
3     2025-05-07 12:05:00      0.0          216.0           216.0   
4     2025-05-07 12:06:00      0.0          216.0           216.0   
...                   ...      ...            ...             ...   
56873 2025-06-15 23:55:00     12.0            0.0             0.0   
56874 2025-06-15 23:56:00     12.0            0.0             0.0   
56875 2025-06-15 23:57:00     12.0            0.0             0.0   
56876 2025-06-15 23:58:00     12.0            0.0             0.0   
56877 2025-06-15 23:59:00     12.0            0.0             0.0   

       BESS_Discharge_kW     SOC_kWh  Gen_Fuel_Used_l  Gen_to_Load_kW  \
0                    0.0  128.319036              0.0             0.0   
1                    0.0  131.638072              0.0             0.0   
2                    0.0  134.957108              0.0             0.0   
3                    0.0  138.276144              0.0             0.0   
4                    0.0  141.595180              0.0             0.0   
...                  ...         ...              ...             ...   
56873               12.0   27.047983              0.0             0.0   
56874               12.0   26.831052              0.0             0.0   
56875               12.0   26.614122              0.0             0.0   
56876               12.0   26.397191              0.0             0.0   
56877               12.0   26.180261              0.0             0.0   

       Unmet_Load_kW  Gen_Fuel_L  
0                0.0    1.081081  
1                0.0    1.081081  
2                0.0    1.081081  
3                0.0    1.081081  
4                0.0    1.081081  
...              ...         ...  
56873            0.0    0.000000  
56874            0.0    0.000000  
56875            0.0    0.000000  
56876            0.0    0.000000  
56877            0.0    0.000000  

[56878 rows x 10 columns]"
